Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Cymbopogon jwarankusa Schult.,Most probable,Lamajjaka is considered as a variety of Usira. This species is taken into consideration as it is a highly aromatic grass with aromatic roots like that of Usira,736,Lamajja,लामज्ज,lāmajja
Cymbopogon jwarankusa Schult.,Most probable,Lamajjaka is considered as a variety of Usira. This species is taken into consideration as it is a highly aromatic grass with aromatic roots like that of Usira,736,Lamajja,लामज्ज,lāmajja
Vetiveria sp.,Accepted source,Lamajjaka' has been mentioned both in Caraka and Susruta samhita; Cakrapani has interpreted it initially as 'Usira' and later as 'Usira bheda'; He has clearly mentioned that the fragrant one is 'Usira' and the non fragrant one is 'Lamajjaka'; In some nighantus 'Usira' and 'Lamajjaka' have been given as synonyms of each other where as in some other nighantus as two different plants; There is a reference in a book that the workers use to get 'Lamajjaka' from the mountains which is similar to the interpretation given by Dalhana; According to the author it is correlated to some Vetiveria species,737,Lamajjaka,लामज्जक,lāmajjaka
Vetiveria sp.,Accepted source,Lamajjaka' has been mentioned both in Caraka and Susruta samhita; Cakrapani has interpreted it initially as 'Usira' and later as 'Usira bheda'; He has clearly mentioned that the fragrant one is 'Usira' and the non fragrant one is 'Lamajjaka'; In some nighantus 'Usira' and 'Lamajjaka' have been given as synonyms of each other where as in some other nighantus as two different plants; There is a reference in a book that the workers use to get 'Lamajjaka' from the mountains which is similar to the interpretation given by Dalhana; According to the author it is correlated to some Vetiveria species,737,Lamajjaka,लामज्जक,lāmajjaka
Costus speciosus (Koen.) Sm.,Market source,This species is sold in the market as Langali as it posseses properties similar to that of Langali,738,Langalaka,लाङ्गलक,lāṅgalaka
Gloriosa superba Linn.,Accepted source,Identified with it,738,Langalaka,लाङ्गलक,lāṅgalaka
Gloriosa saperba,Accepted source,Langali is correlated to Gloriosa superba,739,Langali,लाङ्गली,lāṅgalī
Gloriosa superba Linn.,,,739,Langali,लाङ्गली,lāṅgalī
Lippia nodiflora,Controversial,Different synonyms were given for Langali and one among them was Jala pippali which is correlated to this species; This synonym is not retained for the plant at present,739,Langali,लाङ्गली,lāṅgalī
Picrorhiza kurroo,?,?,739,Langali,लाङ्गली,lāṅgalī
Capsicum annuum Linn.,,,740,Lanka,लङ्का,laṅkā
Capsicum frutescens Linn.,,,741,Lanka - prajati,लङ्का प्रजाति,laṅkā prajāti
Allium sativum Linn.,Accepted source,Identified with it,742,Lasuna,लशुन,laśuna
Hibiscus abelmoschus Linn.,,,743,Latakasturi,लताकस्तूरी,latākastūrī
Hibiscus abelmoschus Linn.,Accepted source,Identified with it,743,Latakasturi,लताकस्तूरी,latākastūrī
Hibiscus abelmoschus Linn.,Accepted source,Identified with it,744,Latakasturika,लताकस्तूरिका,latākastūrikā
Cicca acida (Linn.) Merr.,,,745,Lavali,लवली,lavalī
Cicca acida (Linn.) Merrill,Accepted source,Identified with it,745,Lavali,लवली,lavalī
Cicca acida (Linn.) Merrill.,Suggested source,Nowadays this species is suggested as 'Lavali' but it does not have properties as mentioned in the texts; Needs to be studied,745,Lavali,लवली,lavalī
Lavanga scandens Ham.,Accepted source,Based on the references given in the texts it can be intepreted that Lavali was found in East and South Western part of India along with 'Ela'; Its flowers are white and fragrant blooming during the hemanta ritu (early winter); Its fruits are used along with 'Tambula' as a mouth freshner; Identity of Lavali started getting conspicous during the later periods and in its place 'Harphorevadi' started getting popular; According to the author its identified with this species,745,Lavali,लवली,lavalī
Prunus sp.,Most probable,Lavali' has been cited just once in Caraka samhita and Susruta samhita under the Phala varga (group of fruits); Cakrapani has interpreted it as 'lavali prasiddha' meaning it to very important; Dalhana has interpreted it as a fragrant fruit; Its references claim that it was a reputed drug; According to Dalhana it might be some Prunus species,745,Lavali,लवली,lavalī
Salsola sp.,Accepted source,Lavana trna' has been described in Raja nighantu and identified with this species; Its popularly known as 'Lavanatrna loni' or 'Noniya',746,Lavanatrna,लवण तृण,lavaṇa tṛṇa
Suaeda sp.,Accepted source,Lavana trna' has been described in Raja nighantu and identified with this species; Its popularly known as 'Lavanatrna loni' or 'Noniya',746,Lavanatrna,लवण तृण,lavaṇa tṛṇa
Syzygium aromaticum (Linn.) Merr. & L.M. Perry,Accepted source,Identified with it,747,Lavanga,लवङ्ग,lavaṅga
Syzygium aromaticum (Linn.) Merr. & Per.,,,747,Lavanga,लवङ्ग,lavaṅga
Enphoria longana Linn.,,,749,Lici - prakara,लीची प्रकार,līcī prakāra
Nephelium lappaceum Linn.,,,749,Lici - prakara,लीची प्रकार,līcī prakāra
Enphoria longana Linn.,,,749,Lici - prakara,लीची प्रकार,līcī prakāra
Nephelium lappaceum Linn.,,,749,Lici - prakara,लीची प्रकार,līcī prakāra
Litchi chinensis (Gaertn.),,,748,Lici,लीची,līcī
Litchi chinensis (Gaertn.),,,748,Lici,लीची,līcī
Bryonopsis laciniosa (Linn) Naud.,Accepted source,Has been mentioned in Raja nighantu and Astanga nighantu; Widely known as 'Sivalingi'and correlated to this species,750,Lingini,लिङ्गिनी,liṅginī
Symplocos racemosa,Accepted source,Lodhra is correlated to this species,751,Lodhra,लोध्र,lodhra
Symplocos racemosa Roxb.,,,751,Lodhra,लोध्र,lodhra
Symplocos racemosa Roxb.,Accepted source,Identified with it,751,Lodhra,लोध्र,lodhra
Symplocos racemosa Roxb.,Accepted source,It is identified with this species,751,Lodhra,लोध्र,lodhra
Symplocos crataegoides Buch.-Ham.,Accepted source,Identified with it,752,Lodhra - pattika,लोध्र पट्टिका,lodhra paṭṭikā
Symplocos laurina Wall ex Rehd. & E. H.,,,753,Lodhra - prajati,लोध्र प्रजाति,lodhra prajāti
Symplocos paniculata Miq.,,,753,Lodhra - prajati,लोध्र प्रजाति,lodhra prajāti
Symplocos paniculata Miq.,Accepted source,It is identified with this species,753,Lodhra - prajati,लोध्र प्रजाति,lodhra prajāti
Symplocos racemosa Roxb.,Accepted source,It is identified with this species,753,Lodhra - prajati,लोध्र प्रजाति,lodhra prajāti
Symplocos sumuntia Buch. Ham ex D. Don.,,,753,Lodhra - prajati,लोध्र प्रजाति,lodhra prajāti
Smilax sp.,Controversial,"According to Dalhana, Lohitika refers to another plant called Ramataruni which may be Smilax species",754,Lohitika,लोहितिका,lohitikā
Ventilago sp.,Controversial,"According to Dalhana, Lohitika refers to another plant called Ramataruni which may be Ventilago species",754,Lohitika,लोहितिका,lohitikā
Portulaca oleracea Linn.,Suggested source 2,Identified with it,755,Lonika,लोणिका,loṇikā
Portulaca quadrifida Linn.,,,755,Lonika,लोणिका,loṇikā
Portulaca quadrifida Linn.,Suggested source 1,Identified with it,755,Lonika,लोणिका,loṇikā
Portulaca oleracea Linn.,,,756,Lonika - jati,लोणिका जाति,loṇikā jāti
Portulaca oleracea Linn. Var oleracea,,,757,Lonika - prakara,लोणिका प्रकार,loṇikā prakāra
Portulaca oleracea Linn. Var sativa DC.,,,757,Lonika - prakara,लोणिका प्रकार,loṇikā prakāra
Tamarix aphylla Karst.,Accepted source,Identified with it,758,Macika,माचीक,mācīka
Tamarix gallica Linn.,Accepted source,Identified with it,758,Macika,माचीक,mācīka
Tamarix Sp.,Accepted source,Its identified with this species,758,Macika,माचीक,mācīka
Randia dumetorum Lam.,Accepted source,Identified with it,759,Madana,मदन,madana
Lawsonia inermis Linn.,Accepted source,Identified with it,760,Madanaka,मदनक,madanaka
Meyna laxiflora Robyns.,Accepted source,The word 'Mada' in 'Madana' means something which brings drowsiness but presently 'Madanaphala' is used as an emetic; This species has a lot of resemblance with 'Madanaphala' and popularly known as 'Mainphala'; The fruits of this species are narcotic; Its identified with this species; According to the author this might be the 'Madanaphala' of the ancient times,761,Madanaphala,मदनफल,madanaphala
Randia dumetorum Lam.,Accepted source,It is identified with this species,761,Madanaphala,मदनफल,madanaphala
Randia spinosa Poir.,,,761,Madanaphala,मदनफल,madanaphala
Jasminum sp.,Most probable,Dalhana has identified it with Mallika which is usually considered as this species,762,Madayantika,मदयन्तिका,madayantikā
Lawsonia inermis Linn.,,,762,Madayantika,मदयन्तिका,madayantikā
Glycyrrhiza glabra Linn.,Accepted source,Identified with it,763,Madhu,मधु,madhu
Madhuca indica J. F. Gmel.,,,764,Madhuka,मधुक,madhuka
Madhuca indica J.F. Gmel.,,,764,Madhuka,मधुक,madhuka
Madhuca indica J.F. Gmel.,Accepted source,Identified with it,764,Madhuka,मधुक,madhuka
B. longifolia (Koenig) Macb.,,,765,Madhuka - prajati,मधुक प्रजाति,madhuka prajāti
Madhuca butyracea (Roxb.) Macbride,Most probable,This is a variety of Madhuca species which may be substituted for Madhuka and called Madhukapuspi,766,Madhukapuspi,मधुकपुष्पी,madhukapuṣpī
Citrus maxima (Burm.) Merr,,,767,Madhukarkati,मधुकर्कटी,madhukarkaṭī
Eleusine carocana Gaertn.,Accepted source,Identified with it,768,Madhuli,मधूली,madhūlī
Eleusine carocana Gaertn.,Accepted source,Identified with it,768,Madhuli,मधूली,madhūlī
Eleusine coracana Gaertn.,,,769,Madhulika,मधूलिका,madhūlikā
Eleusine coracana Gaertn.,Accepted source,With regard to its properties it is considered as a type of 'Godhuma' and hence identified with this species,769,Madhulika,मधूलिका,madhūlikā
Eleusine coracana Gaertn.,,,769,Madhulika,मधूलिका,madhūlikā
Eleusine coracana Gaertn.,Accepted source,With regard to its properties it is considered as a type of 'Godhuma' and hence identified with this species,769,Madhulika,मधूलिका,madhūlikā
Eleusine flagellifra Nees.,,,770,Madhulika - prajati,मधूलिका प्रजाति,madhūlikā prajāti
Eleusine indica Gaertn.,,,770,Madhulika - prajati,मधूलिका प्रजाति,madhūlikā prajāti
Sweet cucurbitaceous fruits,Suggested source,Considered as one of the source,771,Madhuravalliphala,मधुरवल्लीफल,madhuravallīphala
Eleusine carocana Gaertn.,Most probable,Originally these were names of a cereal food grain obtained from Eleusine carocana,772,Madhurika,मधुरिका,madhurikā
Moringa concanensis Nimmo.,Accepted source,Its identified with this species,773,Madhusigru,मधुशिग्रु,madhuśigru
Maerua arenaria Hook. f. & Th.,Most probable,Usually accepted as synonyms of Murva but it is considered more appropriate as Maerua arenaria with regard to its features,774,Madhusrava,मधुस्रवा,madhusravā
Maerua arenaria Hook.f. and Thoms.,Accepted source,Madhuvalli' is interpreted as 'Morata' which is identified with this species; Its roots are sweet similar to 'Madhuyasti' and hence the name 'Madhuvalli' is given to it,775,Madhuvalli,मधुवल्ली,madhuvallī
Dioscorea sp.,Suggested source,Considered as a sweet variety of Dioscorea tuber,776,Madhvaluka,मध्वालुक,madhvāluka
Sida rhombifolia,Accepted source,Its identified with this species,777,Mahabala,महाबला,mahābalā
Sida rhombifolia Linn.,Accepted source,Mahabala is correlated to this species,777,Mahabala,महाबला,mahābalā
Sida rhombifolia Linn. Mast.,,,777,Mahabala,महाबला,mahābalā
Sida rhombifolia Linn. Mast.,Accepted source,Mahabala' is identified with this species,777,Mahabala,महाबला,mahābalā
Sida rhombifolia Linn. Mast. Var rhomboidea (Roxb.,,,778,Mahabala - bheda,महाबला भेद,mahābalā bheda
Alpinia galanga Willd.,Accepted source,Mahabhari vaca' is identified with this species,779,Mahabhari vaca,महाभारी वचा,mahābhārī vacā
Arisaema sp.,Most probable,Arisaema are considered as the source with regard to features of the plant,780,Mahadrona,महाद्रोणा,mahādroṇā
Arisaema sp.,Most probable,Mahadrona is most probably identified with this species,780,Mahadrona,महाद्रोणा,mahādroṇā
Araceae - spadix bearing plants,Suggested source,This source has been suggested,781,Mahakarambha,महाकरम्भ,mahākarambha
Zea mays Linn.,,,782,Mahakaya,महाकाय,mahākāya
Luffa cylindrica (Linn.) M.J. Roem.,,,783,Mahakosataki,महाकोशातकी,mahākośātakī
Polygonatum verticillatum Allioni,Substituted source,This species is being used as Mahameda,784,Mahameda,महामेदा,mahāmedā
Ailanthus excelsa,Controversial,In Paryayaratnamala there is a separate description about 'Mahanimba'; In Dhanvantari nighantu it has been described as a type of 'Nimba' but in Raja nighantu there is a separate description on 'Kaidarya' in which 'Mahanimba' and 'Parvatanimba' appears as its synonym by which he tries to interpret this as Aralu which is correlated to this species,785,Mahanimba,महानिम्ब,mahānimba
